t_size	time_11_b_p	time_11_b_n	time_11_f	time_12_b_p	time_12_b_n	time_21_b_p	time_21_b_n	time_21_f	time_22_b_p	time_22_b_n	time_13_b_p	time_13_geam	time_15_b_p	time_15_f	time_51_b_n	time_51_f	time_61_b_n	time_61_f	time_11_pbyn	time_11_nbyp	time_12_pbyn	time_12_nbyp	time_21_pbyn	time_21_nbyp	time_22_pbyn	time_22_nbyp	time_11_fbyn	time_11_nbyf	time_11_fbyp	time_11_pbyf	time_21_fbyn	time_21_nbyf	time_21_fbyp	time_21_pbyf	time_15_fbyp	time_15_pbyf	time_51_fbyn	time_51_nbyf	time_61_fbyn	time_61_nbyf	time_13_trans_f	time_13_trans_p	time_13_trans_n
17	0.0114528	0.0108768	0.0194816	0.0112032	0.0105184	0.010688	0.0109728	0.0206656	0.0110944	0.0108032	0.0101856	0.121955	0.0115904	0.0185408	0.0115456	0.0202048	0.0111968	0.0201184	1.05296	0.949707	1.0651	0.938875	0.974045	1.02665	1.02696	0.973752	1.79111	0.558311	1.70103	0.587878	1.88335	0.530969	1.93353	0.517188	1.59967	0.62513	1.75	0.571429	1.7968	0.556545	0.141437	0.133408	0.132832
18	0.0112416	0.010592	0.0189984	0.0111168	0.010288	0.010864	0.0109216	0.0207328	0.0112448	0.0107456	0.0099296	0.128973	0.011712	0.0183584	0.0111264	0.020176	0.0115552	0.0207328	1.06133	0.942215	1.08056	0.925446	0.994726	1.0053	1.04646	0.955606	1.79366	0.557521	1.69001	0.591713	1.89833	0.526779	1.90839	0.524001	1.56749	0.637964	1.81334	0.551467	1.79424	0.557339	0.147971	0.140214	0.139565
19	0.0116224	0.0107872	0.0197024	0.0114336	0.0107104	0.010992	0.0111552	0.0208	0.0112192	0.0109056	0.0102112	0.13617	0.0119072	0.0182528	0.0114464	0.0201888	0.011584	0.020288	1.07743	0.928139	1.06752	0.936748	0.98537	1.01485	1.02876	0.972048	1.82646	0.547507	1.69521	0.589898	1.8646	0.536308	1.89229	0.528462	1.53292	0.652349	1.76377	0.566968	1.75138	0.570978	0.155872	0.147792	0.146957
20	0.011152	0.0107712	0.0189024	0.0112064	0.0105088	0.0107712	0.0108416	0.0206048	0.0112736	0.0106816	0.0101664	0.142461	0.0116704	0.0179744	0.0115136	0.0201664	0.0115744	0.0198592	1.03535	0.965854	1.06638	0.93775	0.993507	1.00654	1.05542	0.947488	1.7549	0.569832	1.69498	0.589978	1.90053	0.526169	1.91295	0.522752	1.54017	0.649279	1.75153	0.57093	1.71579	0.582823	0.161363	0.153613	0.153232
21	0.0118272	0.010512	0.0186016	0.0105216	0.0104	0.0108352	0.0109312	0.0206368	0.0111488	0.010752	0.0102976	0.149395	0.0121792	0.0181792	0.0113408	0.0201376	0.0111872	0.0200512	1.12511	0.888799	1.01169	0.988443	0.991218	1.00886	1.0369	0.964409	1.76956	0.565113	1.57278	0.635816	1.88788	0.529694	1.90461	0.525043	1.49264	0.669952	1.77568	0.563165	1.79233	0.557932	0.167997	0.161222	0.159907
22	0.0109408	0.0106304	0.01856	0.0109504	0.0103136	0.010784	0.010736	0.0203296	0.0110336	0.0107392	0.0102592	0.156301	0.0119424	0.0178368	0.011104	0.0200864	0.0110752	0.0199744	1.0292	0.971629	1.06174	0.941847	1.00447	0.995549	1.02741	0.973318	1.74594	0.572759	1.6964	0.589483	1.89359	0.528097	1.88516	0.530458	1.49357	0.669537	1.80893	0.552812	1.80352	0.55447	0.174861	0.167242	0.166931
23	0.0118336	0.0110816	0.0186112	0.011392	0.0110848	0.0117632	0.0113984	0.02024	0.0116064	0.0110624	0.0108992	0.163302	0.0128	0.0177408	0.0115744	0.019312	0.0114112	0.01944	1.06786	0.936452	1.02771	0.973034	1.032	0.968988	1.04918	0.953129	1.67947	0.595426	1.57274	0.635832	1.77569	0.563162	1.72062	0.581186	1.386	0.721501	1.66851	0.599337	1.70359	0.586996	0.181914	0.175136	0.174384
24	0.0115232	0.0107616	0.0183104	0.0112448	0.0108896	0.0115648	0.011184	0.0201664	0.0118816	0.0118496	0.0110912	0.170995	0.0127744	0.0176128	0.0115648	0.0189408	0.011584	0.018912	1.07077	0.933907	1.03262	0.968412	1.03405	0.967072	1.0027	0.997307	1.70146	0.587732	1.589	0.629325	1.80315	0.554586	1.74377	0.573469	1.37876	0.725291	1.6378	0.610576	1.6326	0.612521	0.189306	0.182518	0.181757
25	0.012832	0.0117696	0.018416	0.0118848	0.011104	0.0120224	0.0118016	0.0201184	0.0120736	0.0115424	0.0113728	0.177974	0.0133312	0.0180128	0.0125792	0.0203008	0.0126464	0.020096	1.09027	0.917207	1.07032	0.934303	1.01871	0.981634	1.04602	0.956003	1.56471	0.639096	1.43516	0.696785	1.70472	0.586607	1.67341	0.597582	1.35118	0.740096	1.61384	0.619641	1.58907	0.629299	0.19639	0.190806	0.189744
26	0.0131776	0.01272	0.019072	0.0126048	0.0118336	0.0119584	0.01224	0.0203936	0.0133088	0.0132256	0.0163776	0.186115	0.0135744	0.0185632	0.0127616	0.0203168	0.0134912	0.0215488	1.03597	0.965274	1.06517	0.938817	0.976993	1.02355	1.00629	0.993749	1.49937	0.666946	1.4473	0.69094	1.66614	0.600188	1.70538	0.58638	1.36752	0.731253	1.59203	0.62813	1.59725	0.626077	0.205187	0.199293	0.198835
27	0.0135104	0.012992	0.0196128	0.0135328	0.0128608	0.013504	0.013856	0.021232	0.014496	0.0126976	0.0130272	0.193859	0.0135456	0.0186784	0.0137696	0.0206848	0.0130112	0.0212672	1.0399	0.96163	1.05225	0.950343	0.974596	1.02607	1.14163	0.875938	1.50961	0.662425	1.45168	0.688856	1.53233	0.6526	1.57227	0.636021	1.37893	0.725201	1.50221	0.665687	1.63453	0.611797	0.213472	0.20737	0.206851
28	0.0133984	0.0131264	0.0193472	0.0128672	0.0123008	0.011584	0.0116832	0.0206336	0.012144	0.0116256	0.0112064	0.198726	0.0126624	0.0176352	0.0126656	0.0198784	0.0120448	0.0195936	1.02072	0.979699	1.04605	0.955981	0.991509	1.00856	1.04459	0.957312	1.47392	0.678465	1.44399	0.692524	1.76609	0.566222	1.78122	0.561414	1.39272	0.718019	1.56948	0.637154	1.62673	0.614731	0.218074	0.212125	0.211853
