t_size	time_11_b_p	time_11_b_n	time_11_f	time_12_b_p	time_12_b_n	time_21_b_p	time_21_b_n	time_21_f	time_22_b_p	time_22_b_n	time_13_b_p	time_13_geam	time_15_b_p	time_15_f	time_51_b_n	time_51_f	time_61_b_n	time_61_f	time_11_pbyn	time_11_nbyp	time_12_pbyn	time_12_nbyp	time_21_pbyn	time_21_nbyp	time_22_pbyn	time_22_nbyp	time_11_fbyn	time_11_nbyf	time_11_fbyp	time_11_pbyf	time_21_fbyn	time_21_nbyf	time_21_fbyp	time_21_pbyf	time_15_fbyp	time_15_pbyf	time_51_fbyn	time_51_nbyf	time_61_fbyn	time_61_nbyf	time_13_trans_f	time_13_trans_p	time_13_trans_n
17	0.0107296	0.011056	0.0183616	0.0108096	0.0107296	0.0108736	0.0112768	0.0206784	0.011024	0.011008	0.0102176	0.122304	0.0101952	0.0183552	0.0108896	0.019472	0.0110336	0.0200256	0.970478	1.03042	1.00746	0.992599	0.964245	1.03708	1.00145	0.998549	1.66078	0.602126	1.7113	0.58435	1.83371	0.545342	1.90171	0.525843	1.80038	0.555439	1.78813	0.559244	1.81497	0.550975	0.140666	0.133034	0.13336
18	0.0105536	0.0107904	0.0180384	0.0107808	0.0105952	0.0109536	0.011168	0.0204864	0.0110816	0.0114816	0.0102144	0.129459	0.0103232	0.0181152	0.0109984	0.0197376	0.0111616	0.0204128	0.978055	1.02244	1.01752	0.982784	0.980802	1.01957	0.965162	1.0361	1.67171	0.598191	1.70922	0.585063	1.83438	0.545142	1.87029	0.534677	1.7548	0.569864	1.79459	0.557231	1.82884	0.546794	0.147498	0.140013	0.14025
19	0.0107616	0.0107968	0.0179328	0.0107104	0.0106336	0.0108736	0.0111168	0.0202528	0.011072	0.0174048	0.010352	0.13665	0.0103744	0.0180384	0.0109952	0.0195104	0.0111968	0.0202048	0.99674	1.00327	1.00722	0.992829	0.978123	1.02237	0.636146	1.57197	1.66094	0.60207	1.66637	0.600107	1.82182	0.548902	1.86257	0.536894	1.73874	0.575129	1.77445	0.563556	1.80452	0.554165	0.154582	0.147411	0.147446
20	0.0107136	0.0108512	0.0179872	0.0107104	0.010672	0.0108704	0.0109888	0.02032	0.0108512	0.0107552	0.0101632	0.143818	0.0102464	0.0180608	0.0108544	0.0191456	0.011104	0.019872	0.987319	1.01284	1.0036	0.996415	0.989225	1.01089	1.00893	0.991153	1.65762	0.603273	1.67891	0.595624	1.84916	0.540787	1.8693	0.534961	1.76265	0.567328	1.76386	0.56694	1.78963	0.558776	0.161805	0.154531	0.154669
21	0.0108352	0.0108864	0.0179008	0.0108128	0.0106944	0.0110272	0.0111744	0.02032	0.011088	0.0109792	0.010416	0.150934	0.0104256	0.0178848	0.011024	0.0193632	0.0111328	0.02008	0.995297	1.00473	1.01107	0.98905	0.986827	1.01335	1.00991	0.990188	1.64433	0.608152	1.6521	0.605291	1.81844	0.549921	1.84272	0.542677	1.71547	0.582931	1.75646	0.569327	1.80368	0.554422	0.168835	0.16177	0.161821
22	0.0107744	0.0107488	0.0176672	0.0107808	0.0106464	0.0115104	0.0110432	0.0202176	0.0111488	0.01088	0.0103968	0.158243	0.0103808	0.0177024	0.0108928	0.0194496	0.0108896	0.0202496	1.00238	0.997624	1.01262	0.987533	1.04231	0.959411	1.02471	0.97589	1.64364	0.608404	1.63974	0.609853	1.83077	0.546217	1.75646	0.569326	1.7053	0.586406	1.78555	0.560053	1.85954	0.537769	0.17591	0.169018	0.168992
23	0.0113024	0.011392	0.0175936	0.0112832	0.0111968	0.0121568	0.011632	0.0199584	0.0116896	0.011648	0.0111808	0.165363	0.0111232	0.0181568	0.011792	0.0192736	0.0116064	0.0201536	0.992135	1.00793	1.00772	0.992343	1.04512	0.956831	1.00357	0.996441	1.54438	0.647508	1.55663	0.642415	1.71582	0.582812	1.64175	0.609107	1.63234	0.612619	1.63446	0.611821	1.73642	0.575897	0.182957	0.176666	0.176755
24	0.0119552	0.0111872	0.0174144	0.0113568	0.0111744	0.011568	0.011456	0.0199264	0.0115776	0.0137568	0.0110272	0.172563	0.0110944	0.0174912	0.0114304	0.018368	0.0114944	0.0191328	1.06865	0.93576	1.01632	0.983939	1.00978	0.990318	0.841591	1.18823	1.55664	0.642411	1.45664	0.686512	1.73939	0.574916	1.72254	0.580536	1.57658	0.634285	1.60694	0.6223	1.66453	0.600769	0.189978	0.184518	0.18375
25	0.0115136	0.0113824	0.0174144	0.0113408	0.0111808	0.0115744	0.0118368	0.0198784	0.0116768	0.0121376	0.011456	0.179776	0.0114624	0.017488	0.011792	0.0191584	0.0119072	0.0198528	1.01153	0.988605	1.01431	0.985892	0.977832	1.02267	0.962035	1.03946	1.52994	0.65362	1.51251	0.661154	1.67937	0.59546	1.71745	0.58226	1.52568	0.655444	1.62469	0.6155	1.66729	0.599774	0.19719	0.19129	0.191158
26	0.0116768	0.0116832	0.0181376	0.0116864	0.0116448	0.0117632	0.0121344	0.019824	0.0121632	0.012032	0.0134432	0.187085	0.0117408	0.0177984	0.0120352	0.0195552	0.011968	0.0201856	0.999452	1.00055	1.00357	0.99644	0.969409	1.03156	1.0109	0.989213	1.55245	0.644143	1.5533	0.64379	1.6337	0.612107	1.68526	0.593382	1.51594	0.659655	1.62483	0.615448	1.68663	0.592898	0.205222	0.198762	0.198768
