t_size	time_11_b_p	time_11_b_n	time_11_f	time_12_b_p	time_12_b_n	time_21_b_p	time_21_b_n	time_21_f	time_22_b_p	time_22_b_n	time_13_b_p	time_13_geam	time_15_b_p	time_15_f	time_51_b_n	time_51_f	time_61_b_n	time_61_f	time_11_pbyn	time_11_nbyp	time_12_pbyn	time_12_nbyp	time_21_pbyn	time_21_nbyp	time_22_pbyn	time_22_nbyp	time_11_fbyn	time_11_nbyf	time_11_fbyp	time_11_pbyf	time_21_fbyn	time_21_nbyf	time_21_fbyp	time_21_pbyf	time_15_fbyp	time_15_pbyf	time_51_fbyn	time_51_nbyf	time_61_fbyn	time_61_nbyf	time_13_trans_f	time_13_trans_p	time_13_trans_n
17	0.0195774	0.0187682	0.0205189	0.0187862	0.0191486	0.0311636	0.0311994	0.0185027	0.0314813	0.0317136	0.0193592	0.0226629	0.0190137	0.0163699	0.0175044	0.0349791	0.0307419	0.0124567	1.04312	0.958667	0.981074	1.01929	0.998852	1.00115	0.992675	1.00738	1.09328	0.914679	1.04809	0.954115	0.593047	1.68621	0.593728	1.68427	0.860953	1.1615	1.9983	0.500425	0.405203	2.4679	0.0431818	0.0422403	0.0414311
18	0.0227434	0.0227924	0.0214679	0.0225566	0.0227705	0.0378501	0.0389103	0.021534	0.0392361	0.0360706	0.0215016	0.0287937	0.0213887	0.016914	0.0197982	0.0360734	0.0334197	0.0143552	0.99785	1.00215	0.990606	1.00948	0.972753	1.02801	1.08776	0.919322	0.941889	1.0617	0.943918	1.05941	0.553427	1.80692	0.568929	1.75769	0.790791	1.26456	1.82205	0.548831	0.429543	2.32806	0.0502616	0.0515371	0.0515861
19	0.0233177	0.0242206	0.0297624	0.0232814	0.0239694	0.0389553	0.0405699	0.0296949	0.0402321	0.0398891	0.0237084	0.0383009	0.0232906	0.0255786	0.0298537	0.0406234	0.0379628	0.0176192	0.962722	1.03872	0.971297	1.02955	0.960202	1.04145	1.0086	0.991474	1.22881	0.813799	1.27639	0.783462	0.731944	1.36622	0.762281	1.31185	1.09824	0.91055	1.36075	0.734889	0.464117	2.15463	0.0680633	0.0616186	0.0625215
20	0.0218859	0.0224349	0.0267649	0.0218804	0.0239514	0.0368968	0.0374141	0.0264391	0.0374838	0.0373976	0.0221282	0.0463978	0.0218899	0.0213312	0.0215342	0.0378114	0.0361669	0.0174302	0.975529	1.02508	0.913533	1.09465	0.986174	1.01402	1.0023	0.9977	1.193	0.838221	1.22293	0.817709	0.706661	1.4151	0.716569	1.39554	0.974477	1.02619	1.75588	0.569516	0.481938	2.07496	0.0731627	0.0682837	0.0688327
21	0.0269781	0.0266409	0.0390379	0.0263464	0.0250519	0.0438979	0.0446476	0.0361291	0.0466462	0.0436567	0.0254494	0.0481346	0.0255336	0.0291667	0.0299574	0.0425382	0.0435906	0.0233795	1.01266	0.987501	1.05167	0.950866	0.983209	1.01708	1.06848	0.935911	1.46534	0.682437	1.44702	0.691075	0.809206	1.23578	0.823026	1.21503	1.14229	0.875437	1.41996	0.704247	0.536343	1.86448	0.0871725	0.0751127	0.0747755
22	0.024998	0.0257587	0.0402548	0.0250178	0.0251805	0.0406695	0.0397085	0.0380386	0.0400807	0.0390497	0.0239644	0.050809	0.0236624	0.0302715	0.0315145	0.0414511	0.0403814	0.0234453	0.970468	1.03043	0.993539	1.0065	1.0242	0.976371	1.0264	0.974277	1.56277	0.639891	1.61032	0.620994	0.957946	1.0439	0.93531	1.06916	1.27931	0.781672	1.3153	0.760281	0.580597	1.72237	0.0910638	0.075807	0.0765677
23	0.0303948	0.0310796	0.0516824	0.0304085	0.0312713	0.0540593	0.0532466	0.0489426	0.0516508	0.051465	0.0297551	0.0505554	0.0295025	0.0398169	0.0459959	0.0452503	0.0518927	0.0281627	0.977966	1.02253	0.972409	1.02837	1.01526	0.984966	1.00361	0.996403	1.6629	0.601357	1.70037	0.588107	0.919169	1.08794	0.90535	1.10454	1.34961	0.740954	0.98379	1.01648	0.54271	1.8426	0.102238	0.0809502	0.081635
24	0.0250127	0.0254423	0.027274	0.0249666	0.025346	0.0427477	0.04215	0.0260547	0.0404112	0.0406142	0.0233346	0.0520638	0.0233995	0.0233981	0.0250248	0.0396477	0.0414558	0.0229706	0.983115	1.01718	0.985031	1.0152	1.01418	0.986018	0.995002	1.00502	1.07199	0.932841	1.09041	0.91709	0.618142	1.61775	0.6095	1.64069	0.99994	1.00006	1.58434	0.631179	0.554099	1.80473	0.0793378	0.0770765	0.0775061
25	0.0436955	0.0444097	0.0405016	0.0436736	0.0446046	0.0657619	0.0628336	0.0381313	0.0633843	0.0631056	0.0416077	0.0530798	0.0415867	0.0340019	0.0385563	0.0471889	0.0619908	0.0316001	0.983918	1.01635	0.979128	1.02132	1.0466	0.955471	1.00442	0.995603	0.911999	1.09649	0.926906	1.07886	0.606862	1.64782	0.579839	1.72462	0.817615	1.22307	1.2239	0.817063	0.509755	1.96173	0.0935814	0.0967753	0.0974895
26	0.0439145	0.0441313	0.0428344	0.0418554	0.0422332	0.0632169	0.0635593	0.0403716	0.0639869	0.0634011	0.0416945	0.0540273	0.0416936	0.0352339	0.0408916	0.0474743	0.0635808	0.0308039	0.995087	1.00494	0.991054	1.00903	0.994613	1.00542	1.00924	0.990845	0.970613	1.03028	0.975404	1.02522	0.63518	1.57436	0.63862	1.56588	0.845067	1.18334	1.16098	0.861342	0.484484	2.06405	0.0968617	0.0979418	0.0981586
27	0.0493945	0.0503851	0.0534968	0.0496264	0.0502687	0.0790702	0.079537	0.0536007	0.0804094	0.0795604	0.0500637	0.0560398	0.047997	0.0451274	0.0539195	0.051296	0.0730464	0.038062	0.980339	1.02005	0.987223	1.01294	0.994131	1.0059	1.01067	0.989442	1.06176	0.941834	1.08305	0.923317	0.673909	1.48388	0.677887	1.47517	0.940213	1.06359	0.951344	1.05114	0.521066	1.91914	0.109537	0.105434	0.106425
